Measured, , , , , , , , ,Closure, , 
Depth,INC,AZM,TVD,VS,DLS,NS,EW,Closure,Dir,Northing,Easting
(m),Deg,Deg,(m),(m),°/30 m,(m),(m),(m),Deg,(m),(m)
0,0,0,0,0,0,0,0,0,0,4922630.02,2588616.8
470,0,0,470,0,0,0,0,0,0,4922630.02,2588616.8
530,0,0,530,0,0,0,0,0,0,4922630.02,2588616.8
560,1.9,98.89,559.99,0.5,1.9,-0.08,0.49,0.5,98.89,4922629.94,2588617.29
590,3.8,98.89,589.96,1.99,1.9,-0.31,1.97,1.99,98.89,4922629.71,2588618.77
620,5.7,98.89,619.85,4.47,1.9,-0.69,4.42,4.47,98.89,4922629.33,2588621.22
650,7.6,98.89,649.65,7.95,1.9,-1.23,7.85,7.95,98.89,4922628.79,2588624.65
680,9.5,98.89,679.31,12.41,1.9,-1.92,12.26,12.41,98.89,4922628.1,2588629.06
710,11.4,98.89,708.81,17.85,1.9,-2.76,17.63,17.85,98.89,4922627.26,2588634.43
740,13.3,98.89,738.12,24.26,1.9,-3.75,23.97,24.26,98.89,4922626.27,2588640.77
770,15.2,98.89,767.19,31.65,1.9,-4.89,31.27,31.65,98.89,4922625.13,2588648.07
800,17.1,98.89,796.01,39.99,1.9,-6.18,39.51,39.99,98.89,4922623.84,2588656.31
820.31,18.39,98.89,815.35,46.18,1.9,-7.14,45.63,46.18,98.89,4922622.88,2588662.43
1030.33,18.39,98.89,1014.65,112.43,0,-17.38,111.07,112.43,98.89,4922612.64,2588727.87
1060.33,16.49,98.89,1043.27,121.41,1.9,-18.77,119.95,121.41,98.89,4922611.25,2588736.75
1090.33,14.59,98.89,1072.17,129.45,1.9,-20.01,127.89,129.45,98.89,4922610.01,2588744.69
1120.33,12.69,98.89,1101.33,136.52,1.9,-21.11,134.88,136.52,98.89,4922608.91,2588751.68
1150.33,10.79,98.89,1130.7,142.62,1.9,-22.05,140.91,142.62,98.89,4922607.97,2588757.71
1180.33,8.89,98.89,1160.25,147.75,1.9,-22.84,145.97,147.75,98.89,4922607.18,2588762.77
1210.33,6.99,98.89,1189.97,151.89,1.9,-23.48,150.06,151.89,98.89,4922606.54,2588766.86
1240.33,5.09,98.89,1219.8,155.04,1.9,-23.97,153.18,155.04,98.89,4922606.05,2588769.98
1270.33,3.19,98.89,1249.72,157.21,1.9,-24.3,155.32,157.21,98.89,4922605.72,2588772.12
1300.33,1.29,98.89,1279.69,158.38,1.9,-24.48,156.47,158.38,98.89,4922605.54,2588773.27
1320.63,0,0,1300,158.61,1.9,-24.52,156.7,158.61,98.89,4922605.5,2588773.5
1350.63,0,0,1330,158.61,0,-24.52,156.7,158.61,98.89,4922605.5,2588773.5
1420.63,0,0,1400,158.61,0,-24.52,156.7,158.61,98.89,4922605.5,2588773.5
1470.63,0,0,1450,158.61,0,-24.52,156.7,158.61,98.89,4922605.5,2588773.5
